dataset,case_id,family,go2_mode,resume_action,completed_evaluable,go2_readiness_lsim_metadata_enabled,source_aware_go2_readiness_lsim_enabled,go2_readiness_first_class_lsim,go2_readiness_lsim_provider_status,go2_readiness_lsim_metadata_count,go2_readiness_lsim_matched_metadata_count,go2_readiness_trace_solver_input,go2_readiness_go2_position_truth_claim,go2_readiness_go2_yaw_truth_claim
BY3,BY3_D_position_spike_020,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1142,False,False,False
BY3,BY3_D_position_spike_021,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,571,False,False,False
BY3,BY3_D_position_spike_021,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_D_position_spike_022,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,571,False,False,False
BY3,BY3_D_position_spike_022,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_D_position_spike_023,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,824,False,False,False
BY3,BY3_D_position_spike_023,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_D_position_spike_024,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
BY3,BY3_D_position_spike_024,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_D_position_spike_025,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,628,False,False,False
BY3,BY3_D_position_spike_025,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_D_position_spike_026,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,716,False,False,False
BY3,BY3_D_position_spike_026,position_spike,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1139,False,False,False
BY3,BY3_D_position_spike_027,position_spike,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
