slot_id,role,summary_R1_sha256,summary_R2_sha256,error_series_R1_sha256,error_series_R2_sha256,passed,R1_available_metric_fields,R1_available_metrics_equal,trace_open_count,trace_sha256,audit_status_R1,audit_status_R2,horizontal_max_m,up_max_m,yaw_max_deg,residual_file,residual_sha256
BY2__EXT05C__LIT__D06_seed_05__seed_05__v2,FULL,7d13c747e6581134e59d8a0fa2b5db3aac3f62a68bce0cc824fa35fa4cce35a3,7d13c747e6581134e59d8a0fa2b5db3aac3f62a68bce0cc824fa35fa4cce35a3,19681bf7aee8f547da65c65dedf0135dd02c3ba808a7ed9007dd765f6a459d99,19681bf7aee8f547da65c65dedf0135dd02c3ba808a7ed9007dd765f6a459d99,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.893603953645793e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_05__seed_05__v2_R2.csv.gz,98427d750ce910f7ac172923878ef61d57b7004888882e05922920778b3d0cd6
BY2__LC01__LIT__D06_seed_06__seed_06__v3,FULL,e6a0ffe84703535a73f08ec81bcf216d7acfe3e65ba791613e3b219e9d5ea9d7,e6a0ffe84703535a73f08ec81bcf216d7acfe3e65ba791613e3b219e9d5ea9d7,a69cb4571130b54d6c05a72329b243e1f83ed73d5ee8ce66c13905b09adb86ad,a69cb4571130b54d6c05a72329b243e1f83ed73d5ee8ce66c13905b09adb86ad,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.852900207884354e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_06__seed_06__v3_R2.csv.gz,bf6f0e25d81c8584a171ae0781341d8380d833b74cc9a56c2d48dac246805e59
BY2__LC01__LIT__D06_seed_06__seed_06__v2,FULL,cfbf68b023d6f14e67a2b6e58c7022c017990755534a561457e8cbf2ca54efc5,cfbf68b023d6f14e67a2b6e58c7022c017990755534a561457e8cbf2ca54efc5,b5449ff42f59f46d47d993e61c98f0c31e12264fa34ddcf8780b2270f0f97733,b5449ff42f59f46d47d993e61c98f0c31e12264fa34ddcf8780b2270f0f97733,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.929642751054232e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_06__seed_06__v2_R2.csv.gz,b4d413f0bf52746ec9a90156e558c265695c9543a9fe03a0d4595f27062ee085
BY2__EXT05C__LIT__D06_seed_06__seed_06__v3,FULL,15e626065631adc06bcc4a6a52161f1a6bafc92eeddaad42385813abcd12cb64,15e626065631adc06bcc4a6a52161f1a6bafc92eeddaad42385813abcd12cb64,7ba6a5cbfee35f5f346040d1f51023b5ab8cb472ce460d68f72741a87748aa58,7ba6a5cbfee35f5f346040d1f51023b5ab8cb472ce460d68f72741a87748aa58,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.943783111453509e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_06__seed_06__v3_R2.csv.gz,cd1dcdf110c7f813e35d70fb8c6c1e7b49965fd8617b7f29071174754556cd18
BY2__EXT05C__LIT__D06_seed_06__seed_06__v2,FULL,9ae4058355f8c545aabdd322d67ad15d38470c691f7cfcc86b0d3b98f81d9b1c,9ae4058355f8c545aabdd322d67ad15d38470c691f7cfcc86b0d3b98f81d9b1c,1c5d76f879f67dd88e8711ae33fd9fe2769e6fcb7ff03b85940cbf3f271852e6,1c5d76f879f67dd88e8711ae33fd9fe2769e6fcb7ff03b85940cbf3f271852e6,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.893603953645793e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_06__seed_06__v2_R2.csv.gz,e98625243109af5f8d25c8c8356158cd373e6be238f129498a3080d7596c3837
BY2__LC01__LIT__D06_seed_07__seed_07__v3,FULL,64a968a14c06690a7c955cd7e81c33f150c3c6ad05f8775e7ff4073863fd90cc,64a968a14c06690a7c955cd7e81c33f150c3c6ad05f8775e7ff4073863fd90cc,1e6a4f717659d04b535f943b46c6f3d4959b483cf3c14cd367ce2e80e65bdec8,1e6a4f717659d04b535f943b46c6f3d4959b483cf3c14cd367ce2e80e65bdec8,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,3.370400129833633e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_07__seed_07__v3_R2.csv.gz,de8f7279480c3199f7e3d12362b44814ed67481e3591ad346bf7bee6e81c246d
BY2__LC01__LIT__D06_seed_07__seed_07__v2,FULL,6835076923de833e5c011b9119f15064aaad26bc0a9824f860cd4d2fc0afd23e,6835076923de833e5c011b9119f15064aaad26bc0a9824f860cd4d2fc0afd23e,9b83be84cfb5a3064fbf1b217e710712438c6f7bf5a801041cffd48fae9e23c9,9b83be84cfb5a3064fbf1b217e710712438c6f7bf5a801041cffd48fae9e23c9,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.929642751054232e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_07__seed_07__v2_R2.csv.gz,e22f68d609ce3e1bb7511385de3a80be20dba473f7c966a9a52fa086e32a3c61
BY2__EXT05C__LIT__D06_seed_07__seed_07__v3,FULL,c2868c9220aafdc84ce438115edad2553ed3cd5bfe6c2fc10c3da6d87dafe459,c2868c9220aafdc84ce438115edad2553ed3cd5bfe6c2fc10c3da6d87dafe459,6eab604d903b5a7deac3a9e26de686d19511c668792e7dcdc3295e4629824739,6eab604d903b5a7deac3a9e26de686d19511c668792e7dcdc3295e4629824739,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.943783111453509e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_07__seed_07__v3_R2.csv.gz,4b9baa450b8c005fb831a37519324712f9475369236a1b7b8f68cbc0bd95090b
BY2__EXT05C__LIT__D06_seed_07__seed_07__v2,FULL,65a27c13865a921629aa51a0bb44fb208b0a516d9820ffa68bf7aaedb2d6edc5,65a27c13865a921629aa51a0bb44fb208b0a516d9820ffa68bf7aaedb2d6edc5,ccf2a10620d18931c0eb5941d71cac1d622883e0c8c1ac19b86ffbf13cb96644,ccf2a10620d18931c0eb5941d71cac1d622883e0c8c1ac19b86ffbf13cb96644,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.893603953645793e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_07__seed_07__v2_R2.csv.gz,6613e5e2754de817b1b366b9360810bcf5ffede3b12d0cbe5efd1ddda8be0e9e
BY2__LC01__LIT__D06_seed_08__seed_08__v3,FULL,c100f66d6e8b18005dde92d4fa386ed1eff40a49aa3c1dc1754d4d7ef8bc79eb,c100f66d6e8b18005dde92d4fa386ed1eff40a49aa3c1dc1754d4d7ef8bc79eb,9a84cc8734823c07010999d322ddc402a2787274de8dd6abcd7c956ecf2dc78a,9a84cc8734823c07010999d322ddc402a2787274de8dd6abcd7c956ecf2dc78a,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.852900207884354e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_08__seed_08__v3_R2.csv.gz,db88aef8436e9109c0e2160b508d72861c8c8c09329d0f4c93778a989ad48d47
