level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D04,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,3.4166387895243426,8.799200863380245,9.628090142217616,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D04,EXT05C,EXT05C,up_rmse_m,9,0,9,9.16216478992262,11.718127500784014,11.909519880213223,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,LC01,LC01,yaw_rmse_deg,9,0,9,2.997368449125506,3.0071288908110616,3.010143695282273,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,LC01,LC01,horizontal_rmse_m,9,0,9,0.8653262246354053,1.4716520441696948,1.6828041829603906,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,LC01,LC01,up_rmse_m,9,0,9,1.4221503451639128,2.1401666149444702,2.1534499404917256,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
