case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256,audit_status_R1,audit_status_R2,observer_discrepancy_R2
D21_seed_08,位置噪声,D21,seed_08,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_08__seed_08,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_08,位置噪声,D21,seed_08,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,24.46250607009181,2.554855660674616,6.2598380085355805,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_08__seed_08/v2_R2,e37809d703b889bed065888fa0050ab92512bb6cffa2d1b32e7f8c4e0743445d,FAIL,PASS,"{""horizontal_max_m"":5.329070518200751e-15,""up_max_m"":7.105427357601002e-15,""yaw_max_deg"":0.0}"
D16_seed_00,位置偏差,D16,seed_00,LC01,LIT,2.994826737175135,1.5024324520771988,0.16702364447611495,4.9681485662973985,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_00__seed_00/v2_R2,bae77e30f8685c2cc1cc69b485e3ff54663f8eedc33c24709ab2690b7fa48ef4,PASS,PASS,"{""horizontal_max_m"":2.894702953182049e-14,""up_max_m"":1.2101430968414206e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_00,位置偏差,D16,seed_00,EXT05C,LIT,12.048717822255133,1.5030449091897442,0.1670835126143489,16.868992255077075,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_00__seed_00/v2_R2,5d0d7d18d1599b0e9173d1c580bd90c06ec560d2e5cd3752b2603d2d82a58c54,PASS,PASS,"{""horizontal_max_m"":3.077321138365141e-14,""up_max_m"":1.3641865415081611e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_01,位置偏差,D16,seed_01,LC01,LIT,2.994826764174677,1.492375922299391,0.8379736284229051,4.9681406159462025,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_01__seed_01/v2_R2,18fa8a7a285fb1648dad13d0af407cb08c25c49452b2a4a0356045bcf7c9d1ec,PASS,PASS,"{""horizontal_max_m"":2.8001895817503296e-14,""up_max_m"":1.3433698597964394e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_01,位置偏差,D16,seed_01,EXT05C,LIT,12.048340415336012,1.4926757820432182,0.8397535516542702,16.869000138048982,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_01__seed_01/v2_R2,1191992fd6e5e7d0896e936ad3f4d876dd20d09cd9b1797f2525f7b3302a6186,PASS,PASS,"{""horizontal_max_m"":2.9535701651221626e-14,""up_max_m"":1.2434497875801753e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_02,位置偏差,D16,seed_02,LC01,LIT,2.9948277150157945,1.5011566774568061,0.16701686839622842,4.968138735801506,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_02__seed_02/v2_R2,e0668112286ceab3614e6711ddad90bd28d75a32a7886dfbbc17839a63690fe2,PASS,PASS,"{""horizontal_max_m"":2.900211958102207e-14,""up_max_m"":1.4099832412739488e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_02,位置偏差,D16,seed_02,EXT05C,LIT,12.04846415369014,1.5009288218780432,0.1670767765907199,16.868655190627955,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_02__seed_02/v2_R2,6dd4e451f6805a5beb4dfcd4e3cede16f8b9f470e9bb9bc1cef193ff7b9fc66e,PASS,PASS,"{""horizontal_max_m"":2.899042967690337e-14,""up_max_m"":1.2601031329495527e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_03,位置偏差,D16,seed_03,LC01,LIT,2.994826781907253,1.5219955877135352,0.8379568609734833,4.9681368896164,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_03__seed_03/v2_R2,18d2e7b1313e8758d0689a5283ffed4a6d0f6e5e4fe95199834e49487d96587e,PASS,PASS,"{""horizontal_max_m"":2.9392197924452e-14,""up_max_m"":1.27675647831893e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_03,位置偏差,D16,seed_03,EXT05C,LIT,12.048238688353067,1.5219209590509424,0.8397367383136287,16.867648537398424,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_03__seed_03/v2_R2,d7300af27a62b890fcd2ac92350f9b7786c54a1e408deb4e2fa9427422ec09bc,PASS,PASS,"{""horizontal_max_m"":2.9774682971422016e-14,""up_max_m"":1.2656542480726785e-14,""yaw_max_deg"":4.092726157978177e-12}"
