dataset,family,go2_mode,completed_rows,yaw_metric_status,position_rmse_h_mean,position_rmse_3d_mean,up_rmse_mean,roll_rmse_mean,pitch_rmse_mean,yaw_rmse_diagnostic_mean,epoch_count_mean
BY3,normal,G00_NO_GO2,1,diagnostic_only,0.7640731189668842,10.528374485622141,10.500612438251949,1.8984685289878487,1.8116987847179744,74.61227799127042,61817.0
BY3,normal,G01_GO2_RP_ONLY,1,diagnostic_only,0.8288474928807708,10.53185887149422,10.499193451052168,1.3719351823077472,1.6398000523107465,119.96170210182957,61817.0
BY3,normal,G02_GO2_HVEL_ONLY,1,diagnostic_only,0.7641607754100045,10.528379177358605,10.500610763739557,1.8827684034490373,1.800672238354656,74.93299935939238,61817.0
BY3,normal,G03_GO2_READINESS_ONLY,1,diagnostic_only,0.8156796989673988,10.540209641113872,10.5086005684545,1.8973374181564067,1.8046050767326673,76.65694059624143,61817.0
BY3,normal,G04_GO2_RP_HVEL,1,diagnostic_only,0.8294792622790755,10.531901935449595,10.499186755714744,1.3721790360044193,1.6411459815690161,120.09011552439891,61817.0
BY3,normal,G05_GO2_FULL_AUX,1,diagnostic_only,0.8820745195208961,10.544271910391661,10.50731243764487,1.3818475589479575,1.6459310058952685,120.71817475985478,61817.0
BY3,outage,G00_NO_GO2,4,diagnostic_only,2.331722719817895,11.132337297294344,10.726280709409867,1.9042211493943326,1.821435252420569,75.0613726055492,61817.0
BY3,outage,G01_GO2_RP_ONLY,4,diagnostic_only,1.7590538222647392,10.903172763220931,10.723699466439905,1.3885085697320618,1.6431859415115633,120.36377459031384,61817.0
BY3,outage,G02_GO2_HVEL_ONLY,4,diagnostic_only,2.321095070529615,11.127778888364766,10.726293079085261,1.8885783372041773,1.8103654000074274,75.38230243562067,61817.0
BY3,outage,G03_GO2_READINESS_ONLY,4,diagnostic_only,2.360448761373512,11.159316197001669,10.76067040287834,1.9034065126673854,1.8139419235115244,77.0886068859491,61817.0
BY3,outage,G04_GO2_RP_HVEL,4,diagnostic_only,1.757580974709423,10.90269182364703,10.723688452367696,1.388776766476247,1.6445115498113219,120.49145232915262,61817.0
BY3,outage,G05_GO2_FULL_AUX,4,diagnostic_only,1.742047847209832,10.925777150153372,10.75825354844217,1.3981057469816356,1.6489427055406525,121.07477133548807,61817.0
BY3,position_noise,G00_NO_GO2,30,diagnostic_only,2.7760193077292192,11.304066607375566,10.856302723804308,3.5064049341124024,4.50942023330516,67.8286989727451,61817.0
BY3,position_noise,G01_GO2_RP_ONLY,30,diagnostic_only,2.722506157571814,11.28865298919781,10.875685013430148,3.5026652920605756,3.7921579843538495,87.86706130989063,61817.0
BY3,position_noise,G02_GO2_HVEL_ONLY,30,diagnostic_only,2.860306085979826,11.345671057586012,10.869458010006836,3.7875833549089264,4.62633585814332,74.56507693984825,61817.0
BY3,position_noise,G03_GO2_READINESS_ONLY,30,diagnostic_only,2.7770238627852994,11.303658173468003,10.85710107994487,3.5185912860390585,4.5133833293044345,69.1750706112911,61817.0
BY3,position_noise,G04_GO2_RP_HVEL,30,diagnostic_only,2.7303100523881065,11.280939241886765,10.863128217977616,3.5030055393764608,3.8684437620039125,85.89696213450067,61817.0
BY3,position_noise,G05_GO2_FULL_AUX,30,diagnostic_only,2.73199744698726,11.280268714163332,10.862955520466816,3.503638161584901,3.855415707370512,86.3985030643264,61817.0
BY3,position_spike,G00_NO_GO2,30,diagnostic_only,1.3277373366306606,10.67253360148332,10.576577600903818,1.8427677477352153,2.085032022310494,65.37802194687666,61817.0
BY3,position_spike,G01_GO2_RP_ONLY,30,diagnostic_only,1.3659661863458232,10.67778923836197,10.576568941641549,1.6292308893923206,2.057285071613434,102.89576688718373,61817.0
BY3,position_spike,G02_GO2_HVEL_ONLY,30,diagnostic_only,1.3406565270745463,10.675475279003443,10.576229832434372,1.8173208433617873,2.1160245938054105,63.96292281711601,61817.0
BY3,position_spike,G03_GO2_READINESS_ONLY,30,diagnostic_only,1.4048449314404303,10.69266233045242,10.585049344029345,1.862644220584778,2.101944937646405,68.4016265220525,61817.0
BY3,position_spike,G04_GO2_RP_HVEL,30,diagnostic_only,1.3639861859595859,10.677281180255315,10.576504147584588,1.630608972740448,2.0573589623121564,100.66718273760428,61817.0
