slot_id,version,role,axis,maximum,time_s,index_zero_based,matched_epoch_count,east_difference_m,evaluator_horizontal_error_m,evaluator_up_error_m,evaluator_yaw_error_deg,horizontal_magnitude_difference_m,horizontal_vector_discrepancy_m,north_difference_m,observer_horizontal_error_m,observer_up_error_m,observer_yaw_error_deg,up_difference_m,yaw_difference_deg
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,-2.4789198471708573e-15,0.0536904155905643,-0.0564516916568287,-6.340502845173205,1.7763568394002505e-15,3.639339466948184e-15,-2.6645352591003757e-15,0.053690415590566073,-0.056451691656829846,-6.340502845169112,-1.1449174941446927e-15,4.092726157978177e-12
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408312715,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.28235944083184,-1.8318679906315083e-15,-5.684341886080801e-13
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,up,2.842170943040401e-14,236.8270552158356,35456,58014,-3.552713678800501e-15,40.217931719548815,-70.43678005960129,1.1635812475485352,-7.105427357601002e-15,5.0242958677880805e-15,3.552713678800501e-15,40.21793171954881,-70.43678005960132,1.1635812475485352,-2.842170943040401e-14,0.0
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,-6.175615574477433e-16,0.219596630577039,-0.3421889304759808,-6.340502845173205,-4.440892098500626e-15,4.813737307657957e-15,4.773959005888173e-15,0.21959663057703455,-0.3421889304759834,-6.340502845169112,-2.609024107869118e-15,4.092726157978177e-12
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,horizontal,2.9766645773512285e-14,182.75247192382807,25394,58014,2.971234369653075e-14,0.0451692988897288,-0.0358798325044542,-4.440420951502688,-7.764622278472189e-15,2.9766645773512285e-14,-1.797173521111972e-15,0.045169298889721037,-0.03587983250445286,-4.440420951502688,1.339206523454095e-15,0.0
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,up,2.842170943040401e-14,157.6330604553223,20654,58014,-1.4210854715202004e-14,20.299828590469456,-84.30179790848788,-0.3495753321799384,-1.4210854715202004e-14,1.517719948885615e-14,-5.329070518200751e-15,20.299828590469442,-84.30179790848791,-0.3495753321799384,-2.842170943040401e-14,0.0
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,2.435551760271437e-15,0.0536932455392157,-0.0564516813674238,-6.353409995351399,-5.169475958410885e-15,6.554702638707309e-15,6.085409953726639e-15,0.05369324553921053,-0.05645168136742666,-6.353409995347306,-2.858824288409778e-15,4.092726157978177e-12
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408329768,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.2823594408335452,-1.8318679906315083e-15,-5.684341886080801e-13
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v2,v2,FULL,up,2.842170943040401e-14,157.6228485107422,20651,58014,7.105427357601002e-15,20.333079716638597,-84.50613852658967,-0.3023221876981665,0.0,8.881784197001252e-15,-5.329070518200751e-15,20.333079716638597,-84.5061385265897,-0.30232218769816654,-2.842170943040401e-14,0.0
BY2__LC01__LIT__D62_20s_seed_04__seed_04__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,3.594347042223944e-15,0.219606173848739,-0.3421889987702933,-6.353409995351399,-3.552713678800501e-15,4.5075473524192756e-15,2.7200464103316335e-15,0.21960617384873546,-0.3421889987702936,-6.353409995347306,-2.7755575615628914e-16,4.092726157978177e-12
BY2__EXT05C__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,horizontal,2.920257679759844e-14,196.2690527439117,28052,58014,-2.9004576518332215e-14,0.1603830708608679,-0.0340809797202528,-56.53265917973894,2.919886554764162e-14,2.920257679759844e-14,-3.3948538424866115e-15,0.1603830708608971,-0.03408097972025779,-56.53265917974002,-4.989064716909297e-15,-1.0800249583553523e-12
BY2__EXT05C__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,up,4.263256414560601e-14,158.34107899665833,20786,58014,0.0,29.370923433795948,-91.37193277911952,-14.102605712421903,-7.105427357601002e-15,7.105427357601002e-15,-7.105427357601002e-15,29.37092343379594,-91.37193277911956,-14.102605712421905,-4.263256414560601e-14,0.0
BY2__EXT05C__LIT__D62_20s_seed_04__seed_04__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,-2.886579864025407e-15,0.10777477294746,-0.06262614680017,-37.97273916507413,2.220446049250313e-15,3.1648126985698328e-15,1.2975731600306517e-15,0.10777477294746222,-0.06262614680016715,-37.97273916507004,2.8449465006019636e-15,4.092726157978177e-12
