elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
197,276.7613835965906,0.3631538734660984,-103.26988743283451,-17.889125423686405,155.9655246135311,0
198,276.851247558641,0.3640775638146111,-103.74838241791163,-17.5523674831408,155.91457522139848,0
199,276.90444362794017,0.3647600321686367,-104.22331632818509,-17.17950858114035,155.8663787507787,0
200,276.96503373413236,0.3652747668414462,-104.69455254128357,-16.841218685764748,155.79453727392084,0
201,277.04712751481884,0.36515559628574,-105.16164568034368,-16.471077526204876,155.77955990455138,0
202,277.15971915499836,0.3650269682351408,-105.62470741450379,-16.03374405336119,155.86629465536384,0
203,277.2432653194507,0.3648635590855325,-106.0836477587289,-15.737089171513833,155.7873919482888,0
204,277.3009086528477,0.36487950589567186,-106.5398473343232,-15.448575920245107,155.67736490417042,0
205,277.4131942124323,0.36474002850857135,-106.99370161651913,-15.340757557050793,155.44347506736628,0
206,277.49660315571793,0.364917616996163,-107.44636949667404,-15.079394081677865,155.33575719435754,0
207,277.62704442920693,0.36536386851209113,-107.89539200894319,-14.677023110941112,155.41999317783007,0
208,277.6075432834816,0.3658211208821075,-108.34042366348072,-14.325089430767997,155.30785131011035,0
209,277.6712625699961,0.36577451437503905,-108.78159182954253,-13.978563815629247,155.2768814391947,0
210,277.78374639659455,0.3657689502429241,-109.21910610895826,-13.604547374347254,155.32586186352728,0
211,277.7711049541617,0.3655184741465919,-109.65321424752885,-13.187662326742316,155.29574685403244,0
212,277.82889561110727,0.36571692495831987,-110.08334112076332,-12.836461496281062,155.27480991901652,0
213,277.9421569683588,0.3657268500215126,-110.5098914884899,-12.410437950790575,155.38755437909518,0
214,277.9473350513548,0.36532840601674477,-110.9325044462592,-12.032034748062802,155.34812426304487,0
215,278.0215031448731,0.36518879234993706,-111.3522059107185,-11.774338907093743,155.26014711940616,0
216,278.1256524006223,0.3651175440375265,-111.7687588176234,-11.410247260262139,155.3117638667696,0
217,278.25301278445477,0.36403098318927685,-112.1816883680664,-11.173720947385336,155.26163445218762,0
218,278.3512006192796,0.3631712824164405,-112.59135885938358,-10.856569854627782,155.26644318768,0
219,278.4437331113404,0.3630257205016425,-113.00002540512945,-10.570509553015018,155.23622387369295,0
220,278.57759829620886,0.3628623117808226,-113.40564475178215,-10.280465027995346,155.25435082820755,0
221,278.60143169617976,0.36200018585383587,-113.80768786870175,-9.93208172615036,155.2236622871768,0
222,278.6864729534917,0.3615237475342028,-114.20698444221593,-9.65873902565208,155.18227323315327,0
223,278.6636096278744,0.36055348177902724,-114.60272813310179,-9.35830873714324,155.0631262394037,0
224,278.7338441936977,0.3612372533926872,-114.99784894584204,-9.120735940515516,154.97649656072818,0
225,278.6922224848986,0.3611818872891873,-115.38998092678105,-8.789982773735202,154.87344067166688,0
226,278.7231417902048,0.36108270559058064,-115.77947863971012,-8.575508683431378,154.72923717264922,0
227,278.804656458007,0.3610190734315585,-116.1660756462261,-8.281548976930193,154.7180509082776,0
228,278.89486435979626,0.3608671838446029,-116.54938677842874,-7.99253890243341,154.71380586277405,0
229,278.9684917832481,0.360470679769758,-116.9299107315941,-7.706888886934108,154.69216284448498,8
230,278.9015774673167,0.3816603015496499,-117.30953616783219,-7.5773639193113045,154.39633768171822,14
231,278.2200629512826,0.47842669574893915,-117.69001867361109,-8.627420428743841,152.38105054467195,11
232,286.3190181200523,0.46928193527664686,-118.05150877649403,-1.5354892751201588,167.2013020037101,11
233,286.80149477809425,0.46345549914808304,-118.32928579075212,6.023237115539548,174.95890160202507,12
234,286.6527714946598,0.4943408265870771,-118.55782616305757,6.519233611196801,175.10851976938145,13
235,285.7545329753149,0.4829006991316047,-118.7921064067159,6.111586548847434,173.55691381657334,11
236,284.83134223627917,0.48139457642764716,-119.03068187662237,5.213500976253463,171.49555591233323,17
237,282.7627968278475,0.5228156920651068,-119.27664658584955,5.832390483747308,169.84135641780574,9
238,281.4559872204144,0.5365525580452767,-119.51979270847268,5.883820383735328,168.35656745371762,11
239,280.0920574017515,0.5408900947294035,-119.74577085765075,7.680153937971157,168.56733057679668,10
240,282.6097574202221,0.5520762606591527,-119.97034024752105,7.702382882152714,170.8938763155082,12
241,282.9159152718552,0.5778460743582535,-120.18313374415771,10.252849786487218,173.5634773885383,14
242,284.54645817203294,0.5546033770343638,-120.36354005745372,13.911747045114913,178.64926853672384,11
243,284.3755722324731,0.5647425023511912,-120.52601368361897,13.42468676336359,177.83898781456423,14
244,285.077355998717,0.552686290457469,-120.67916413821615,14.614859684714295,179.56573783566796,9
245,285.92457497488164,0.5602171013298417,-120.8345537387363,12.379360827879015,178.0295991653495,12
246,287.61277221601244,0.4646887574166053,-121.004313902316,11.210602074399796,178.28374914550818,9
247,288.3790120608038,0.4981074835539021,-121.2031549187891,4.520128233959183,172.19409285952312,11
248,287.7690812932347,0.502754683946971,-121.42937740999707,4.269970188281938,171.11242875546188,10
249,286.66270957029036,0.5160103432292934,-121.66460804036774,4.000418290021443,169.51453016316867,12
250,287.3027853572857,0.5503694534062041,-121.87759307711951,9.104911944579058,175.0804736781468,12
251,285.95395658615064,0.5598406240245124,-122.07330036251409,7.571856636060421,172.01235348371682,12
252,284.5903963720623,0.565163817666089,-122.28272049403355,6.544163731105872,169.41700342679601,9
253,282.8999066548239,0.6099821612935826,-122.49858585041957,7.683968866577263,168.69527183227052,14
254,282.76650410963333,0.5618694461902407,-122.71123959898472,7.875403221320308,168.49253717815452,13
255,283.4313997642873,0.5452426693088737,-122.9353907764397,5.177632584158578,166.21888424131038,12
256,282.08010558725687,0.5350505050171713,-123.1758617995284,4.5064181198224595,163.94571241256344,13
257,281.98753043326354,0.5472759602071848,-123.41002369273974,5.204821732115331,164.32960443284165,12
258,281.21825784489903,0.5392668404395736,-123.64857140481243,4.385607471496015,162.4945607520175,12
259,244.5212105251898,0.4523599305501972,-123.85720104629087,9.991475881200884,131.10784529064523,10
260,218.32358851582035,0.37113614497218717,-123.97177784334747,21.952983616049192,116.67593043348911,13
261,203.19956261064465,0.3042284253379466,-123.9441691413439,29.585409259929282,109.14503115456311,13
262,201.68059177384634,0.27952777094016923,-123.87206973005291,32.516964885776964,110.60501470050576,11
263,195.82702248075913,0.29811991764684664,-123.77680284452242,34.261535896616685,106.60987545049548,12
264,194.7698066977673,0.3091773230960484,-123.68433749303992,31.897713142060574,103.29235966987966,11
265,194.1470566475728,0.29198211153913844,-123.6201639982211,29.518757501422318,100.33763226230916,13
266,196.4613057389444,0.2663692933583778,-123.56084266716849,31.1010755202546,104.26790788538541,11
267,197.6952330215585,0.2716955022806298,-123.5016871396144,29.421425533929128,103.88666691815087,14
268,199.13207024184712,0.21529311336340634,-123.47630801372631,26.337328096678945,102.20838343816014,10
269,200.21597577089835,0.1979017189856896,-123.4556307891435,26.293580847782856,103.25182754852109,13
270,198.6101568321158,0.4066525877040382,-123.45536158263789,25.39804830834886,100.95949614552826,11
271,208.75025727092458,0.3214139614190896,-123.45352855050703,24.885007128413548,110.50314981024766,13
272,204.89368466009836,0.3086678923757883,-123.46776792071006,22.09083002712566,103.82541465888718,12
273,214.03265617790709,0.34131723149864135,-123.50393895753248,20.036158410527605,110.90619286239799,14
274,217.3074861854286,0.36076936659033343,-123.54897151762546,18.98953499533462,113.10881902972508,12
275,217.2430552696028,0.31775979108945784,-123.6140800593227,16.723659881513324,110.67039488287978,12
276,219.61653051841446,0.28185676176352603,-123.7014780008584,13.682850996888694,109.87976027620505,12
277,240.57168566973482,0.32577358492799025,-123.81681806896708,8.693092454749358,125.77373364044212,12
278,246.46035223062128,0.3530737410517202,-123.98061607620048,4.966609560358764,127.7994194558283,10
279,267.6365938424889,0.435717392453301,-124.17762436121777,-0.18500509593965142,143.70968177778167,10
280,279.6733821029023,0.43721492414118823,-124.41745394679708,-2.8454171666585326,152.84772591358478,10
281,281.9024969192149,0.4271977860112527,-124.64670435485948,0.8609457799446154,158.5439361303082,11
282,283.6536495226904,0.4242840513907109,-124.85040569886854,4.922214744781901,164.14974261999134,13
283,285.50488018807664,0.4130094434761946,-125.02947153075536,7.606739690847226,168.49515779164162,12
284,295.4241437855179,0.4472609159463381,-125.18026502787026,7.996204098620181,178.68734377221108,12
285,293.71599081235803,0.40791475734832006,-125.37026463170164,1.4200136269875951,170.17365456498922,10
286,292.3499038905808,0.4906215953347589,-125.60121310814984,0.633092774913554,167.87240515267618,13
287,292.2815216582313,0.4890033200383497,-125.83042790901669,0.41438847553409985,167.354485544784,9
288,292.94400736789703,0.5179131626635242,-126.06197123071382,0.5665161962728364,167.96646549611648,14
289,291.3695307459087,0.549492810528659,-126.29381212534847,0.9751227729927112,166.60033420407856,11
