case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256
D04_seed_04,位置中断,D04,seed_04,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_04__seed_04,c6b060cdcfbcb20c658196b535516c2a20c7739499ab3ea4cd39f5b2d51c9dba
D04_seed_05,位置中断,D04,seed_05,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_05__seed_05,a2fd4374da36a01c152106d87972f54c5429900e856344ef880f4326ae7a5c2a
D04_seed_05,位置中断,D04,seed_05,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_05__seed_05,e0fed213712a328bb8a1c5628aa40622343a966393759069e788384737ae76bb
D04_seed_06,位置中断,D04,seed_06,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_06__seed_06,6b6b580ecd50b50d5a2ef80c52fa10012a041d62f6b25206ecc63c51b72be492
D04_seed_06,位置中断,D04,seed_06,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_06__seed_06,1141ce9a480d438fafe8a1c1f9e4fef9333dc662ba9e795419a42b751de7e4ea
D04_seed_07,位置中断,D04,seed_07,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_07__seed_07,d4ff0adadcf3e3d54543434e97034f18b79d2b790b4657a4fcf82abb97ab1b77
D04_seed_07,位置中断,D04,seed_07,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_07__seed_07,a69319c29fce947e9876e80be3a8cef5bc9e79111b061b429f3b82156635a92d
D04_seed_08,位置中断,D04,seed_08,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_08__seed_08,a3f998bb05f4292cc20a8e4251516c7e3230b8155884d1c226e0f6b9dc10d4b9
D04_seed_08,位置中断,D04,seed_08,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_08__seed_08,886df6c270345b46b785d904ce714536dc93899dd5ca0beaf6e781b615930e4a
D43_seed_00,速度噪声,D43,seed_00,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
