level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max
type,D31,LC01,LC01,horizontal_rmse_m,9,9,0,,,
type,D31,LC01,LC01,up_rmse_m,9,9,0,,,
type,D31,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D31,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D31,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D06,LC01,LC01,yaw_rmse_deg,9,9,0,,,
type,D06,LC01,LC01,horizontal_rmse_m,9,9,0,,,
type,D06,LC01,LC01,up_rmse_m,9,9,0,,,
type,D06,EXT05C,EXT05C,yaw_rmse_deg,9,9,0,,,
type,D06,EXT05C,EXT05C,horizontal_rmse_m,9,9,0,,,
type,D06,EXT05C,EXT05C,up_rmse_m,9,9,0,,,
type,D46,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076
type,D46,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497
type,D46,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066
type,D46,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D46,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D46,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D47,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076
type,D47,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497
type,D47,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066
type,D47,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D47,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D47,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D50,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076
type,D50,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497
type,D50,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066
type,D50,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D50,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D50,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D57,LC01,LC01,yaw_rmse_deg,9,0,9,2.980585070394497,3.076627795415496,3.0910828817591693
type,D57,LC01,LC01,horizontal_rmse_m,9,0,9,0.16674239425009407,0.30521013152996473,0.3160084915401855
type,D57,LC01,LC01,up_rmse_m,9,0,9,0.05034603621967664,0.05054645175798957,0.05055438660993183
type,D57,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,19.361007658493254,60.63936678910384,60.965863842426394
type,D57,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.16745515579697612,0.22595137643857408,0.23200337854915049
type,D57,EXT05C,EXT05C,up_rmse_m,9,0,9,0.055879423463176404,0.056163002850055974,0.05620397762332287
type,D62,LC01,LC01,yaw_rmse_deg,18,17,1,2.9987564702903406,2.9987564702903406,2.9987564702903406
type,D62,LC01,LC01,horizontal_rmse_m,18,17,1,0.42206179443531716,0.42206179443531716,0.42206179443531716
type,D62,LC01,LC01,up_rmse_m,18,17,1,1.1937072097618933,1.1937072097618933,1.1937072097618933
type,D62,EXT05C,EXT05C,yaw_rmse_deg,18,17,1,11.625496291544621,11.625496291544621,11.625496291544621
type,D62,EXT05C,EXT05C,horizontal_rmse_m,18,17,1,0.22132724259266895,0.22132724259266895,0.22132724259266895
type,D62,EXT05C,EXT05C,up_rmse_m,18,17,1,1.2487853431698552,1.2487853431698552,1.2487853431698552
type,D62,LC01-BR,改动过的 LC01,yaw_rmse_deg,18,18,0,,,
type,D62,LC01-BR,改动过的 LC01,horizontal_rmse_m,18,18,0,,,
type,D62,LC01-BR,改动过的 LC01,up_rmse_m,18,18,0,,,
type,D61,LC01,LC01,yaw_rmse_deg,18,17,1,2.9987564702903406,2.9987564702903406,2.9987564702903406
type,D61,LC01,LC01,horizontal_rmse_m,18,17,1,0.42206179443531716,0.42206179443531716,0.42206179443531716
type,D61,LC01,LC01,up_rmse_m,18,17,1,1.1937072097618933,1.1937072097618933,1.1937072097618933
family,位置噪声,LC01,LC01,yaw_rmse_deg,18,18,0,,,
family,位置噪声,LC01,LC01,horizontal_rmse_m,18,18,0,,,
family,位置噪声,LC01,LC01,up_rmse_m,18,18,0,,,
family,位置噪声,EXT05C,EXT05C,yaw_rmse_deg,18,18,0,,,
family,位置噪声,EXT05C,EXT05C,horizontal_rmse_m,18,18,0,,,
family,位置噪声,EXT05C,EXT05C,up_rmse_m,18,18,0,,,
family,位置偏差,LC01,LC01,yaw_rmse_deg,18,0,18,2.9948270626858737,2.994834795864177,2.9948354656601337
family,位置偏差,LC01,LC01,horizontal_rmse_m,18,0,18,1.610600767583583,1.7528561912679683,1.7539246873262153
family,位置偏差,LC01,LC01,up_rmse_m,18,0,18,0.5416892508670351,0.609789985306557,0.6097911548902023
family,位置偏差,EXT05C,EXT05C,yaw_rmse_deg,18,0,18,12.048407624594613,12.103457325809309,12.137424786604349
family,位置偏差,EXT05C,EXT05C,horizontal_rmse_m,18,0,18,1.6138986872228398,1.7469841514146325,1.7512465294459905
family,位置偏差,EXT05C,EXT05C,up_rmse_m,18,0,18,0.5428667473458602,0.6102039915969262,0.6102049909531632
family,位置中断,LC01,LC01,yaw_rmse_deg,18,17,1,2.9987564702903406,2.9987564702903406,2.9987564702903406
family,位置中断,LC01,LC01,horizontal_rmse_m,18,17,1,0.42206179443531716,0.42206179443531716,0.42206179443531716
family,位置中断,LC01,LC01,up_rmse_m,18,17,1,1.1937072097618933,1.1937072097618933,1.1937072097618933
family,位置中断,EXT05C,EXT05C,yaw_rmse_deg,18,17,1,11.625496291544621,11.625496291544621,11.625496291544621
family,位置中断,EXT05C,EXT05C,horizontal_rmse_m,18,17,1,0.22132724259266895,0.22132724259266895,0.22132724259266895
family,位置中断,EXT05C,EXT05C,up_rmse_m,18,17,1,1.2487853431698552,1.2487853431698552,1.2487853431698552
