comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_state,reference_state,candidate_value,reference_value,delta_candidate_minus_reference,pair_status,candidate_algorithm_failure,reference_algorithm_failure,duration_s,sign,evaluator_version,source_table,source_table_row,source_sha256
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,40.858649203669366,36.57657375907821,4.2820754445911575,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,24,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,98.73736213961723,89.0131121556365,9.724249983980727,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,25,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,41.2509190455953,37.32403888316304,3.926880162432262,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,26,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,92.84308723625055,88.80748188719659,4.0356053490539665,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,27,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,35.29863142345087,35.29570134205234,0.00293008139853157,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,28,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,87.05916311264069,87.16675950434748,-0.10759639170679236,FINITE_WIN,False,False,20,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,29,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_05,D61,A1,seed_05,SUCCESS,SUCCESS,42.18711414411092,36.63469392580614,5.552420218304782,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,30,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_05,D61,A1,seed_05,SUCCESS,SUCCESS,94.75801242373457,86.69875435561953,8.059258068115042,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,31,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_06,D61,A1,seed_06,SUCCESS,SUCCESS,58.78519515467704,66.44867419613801,-7.663479041460974,FINITE_WIN,False,False,20,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,32,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_06,D61,A1,seed_06,SUCCESS,SUCCESS,135.5589491547673,152.726027822577,-17.167078667809704,FINITE_WIN,False,False,20,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,33,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
