comparison,metric_name,duration_s,seed_id,A1_delta,A2_delta,A2_minus_A1_delta,status,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_05,-0.44409673918012693,-3.470887203817881,-3.026790464637754,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,48,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_05,-1.164244620655186,-10.394217097040176,-9.22997247638499,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,49,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_06,-0.8001145545794781,-4.36655489105246,-3.566440336472982,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,50,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_06,-1.798637690004334,-12.91535508214781,-11.116717392143476,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,51,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_07,-0.9096980565906723,-5.01066231909567,-4.100964262504998,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,52,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_07,-1.9205117226671966,-13.090645907450623,-11.170134184783427,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,53,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_08,0.9873905998191193,-1.028146103125989,-2.0155367029451083,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,54,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_08,2.1763962528507665,-4.4814058731488355,-6.657802125999602,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,55,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_00,-1.6620990694797442,-38.35496092430874,-36.692861854829,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,56,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_00,-3.55627825158075,-102.79938183947371,-99.24310358789296,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,57,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_01,0.14803014774271617,-10.453857369476225,-10.601887517218941,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,58,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_01,0.31410064922118863,-28.158703058829914,-28.472803708051103,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,59,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_02,-1.6407079904651738,-34.31847698056015,-32.677768990094975,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,60,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_02,-3.5997613478836996,-86.93447929070912,-83.33471794282542,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,61,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_03,-1.5381126700289514,-26.207054424947252,-24.6689417549183,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,62,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_03,-4.284310687058081,-67.58966107007808,-63.30535038302,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,63,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_04,-0.17941444770848136,-20.26137261513872,-20.081958167430237,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,64,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_04,-0.48244018936721034,-59.691259414709215,-59.208819225342005,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,65,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_05,-1.330662591429153,-27.223223868039803,-25.89256127661065,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,66,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_05,-3.709578233448454,-70.4715203761565,-66.76194214270805,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,67,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_06,-2.8017239642143466,-36.94850564681238,-34.14678168259803,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,68,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_06,-6.376904986379628,-98.47903556483985,-92.10213057846022,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,69,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_07,-3.8432160856669952,-34.39975592382775,-30.556539838160752,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,70,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_07,-7.83892466504679,-84.03245678713131,-76.19353212208452,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,71,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,20,seed_08,4.4316063739188465,-10.935096315905009,-15.366702689823855,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,72,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,20,seed_08,9.47719405634566,-32.185186125462124,-41.662380181807784,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,73,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A07,fault_window_horizontal_rmse_m,10,seed_00,0.16345890091241877,-4.41082086149253,-4.574279762404949,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,74,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A07,outage_end_horizontal_error_m,10,seed_00,0.6856789484687695,-12.9027891162763,-13.58846806474507,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,75,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A07,fault_window_horizontal_rmse_m,10,seed_01,0.4499589586045225,-0.6206918774660997,-1.0706508360706222,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,76,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
