dataset_id,case_family,degradation_type_id,method_id,terminal_status,run_count
BY2,gnss_sampling,D08,A09,NOT_STARTED,9
BY2,gnss_sampling,D08,F01,NOT_STARTED,9
BY2,gnss_sampling,D08,F02,NOT_STARTED,9
BY2,gnss_sampling,D08,F03,NOT_STARTED,9
BY2,gnss_sampling,D08,F04,NOT_STARTED,9
BY2,gnss_sampling,D09,A03,NOT_STARTED,9
BY2,gnss_sampling,D09,A04,NOT_STARTED,9
BY2,gnss_sampling,D09,A05,NOT_STARTED,9
BY2,gnss_sampling,D09,A06,NOT_STARTED,9
BY2,gnss_sampling,D09,A07,NOT_STARTED,9
BY2,gnss_sampling,D09,A08,NOT_STARTED,9
BY2,gnss_sampling,D09,A09,NOT_STARTED,9
BY2,gnss_sampling,D09,F01,NOT_STARTED,9
BY2,gnss_sampling,D09,F02,NOT_STARTED,9
BY2,gnss_sampling,D09,F03,NOT_STARTED,9
BY2,gnss_sampling,D09,F04,NOT_STARTED,9
BY2,gnss_sampling,D10,A03,NOT_STARTED,9
BY2,gnss_sampling,D10,A04,NOT_STARTED,9
BY2,gnss_sampling,D10,A05,NOT_STARTED,9
BY2,gnss_sampling,D10,A06,NOT_STARTED,9
BY2,gnss_sampling,D10,A07,NOT_STARTED,9
BY2,gnss_sampling,D10,A08,NOT_STARTED,9
BY2,gnss_sampling,D10,A09,NOT_STARTED,9
BY2,gnss_sampling,D10,F01,NOT_STARTED,9
BY2,gnss_sampling,D10,F02,NOT_STARTED,9
BY2,gnss_sampling,D10,F03,NOT_STARTED,9
BY2,gnss_sampling,D10,F04,NOT_STARTED,9
BY2,gnss_sampling,D11,A03,NOT_STARTED,9
BY2,gnss_sampling,D11,A04,NOT_STARTED,9
BY2,gnss_sampling,D11,A05,NOT_STARTED,9
BY2,gnss_sampling,D11,A06,NOT_STARTED,9
BY2,gnss_sampling,D11,A07,NOT_STARTED,9
BY2,gnss_sampling,D11,A08,NOT_STARTED,9
BY2,gnss_sampling,D11,A09,NOT_STARTED,9
BY2,gnss_sampling,D11,F01,NOT_STARTED,9
BY2,gnss_sampling,D11,F02,NOT_STARTED,9
BY2,gnss_sampling,D11,F03,NOT_STARTED,9
BY2,gnss_sampling,D11,F04,NOT_STARTED,9
BY2,gnss_sampling,D12,A03,NOT_STARTED,9
BY2,gnss_sampling,D12,A04,NOT_STARTED,9
BY2,gnss_sampling,D12,A05,NOT_STARTED,9
BY2,gnss_sampling,D12,A06,NOT_STARTED,9
BY2,gnss_sampling,D12,A07,NOT_STARTED,9
BY2,gnss_sampling,D12,A08,NOT_STARTED,9
BY2,gnss_sampling,D12,A09,NOT_STARTED,9
BY2,gnss_sampling,D12,F01,NOT_STARTED,9
BY2,gnss_sampling,D12,F02,NOT_STARTED,9
BY2,gnss_sampling,D12,F03,NOT_STARTED,9
BY2,gnss_sampling,D12,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D51,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D51,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D51,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D51,F03,NOT_STARTED,9
BY2,go2_prior_metadata,D51,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D52,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D52,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D52,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D52,F03,NOT_STARTED,9
BY2,go2_prior_metadata,D52,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D53,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D53,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D53,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D53,F03,NOT_STARTED,9
