hypothesis,comparison,metric_name,finite_count,median_delta,median_10s,median_20s,median_30s,benefit,duration_trend,complete,evaluator_version,source_table,source_table_row,source_sha256
H1,A03_vs_A07,outage_end_horizontal_error_m,27,0.9820377475029876,0.9100388153474377,2.088959666560754,4.237482963571068,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,27,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A08,fault_window_horizontal_rmse_m,27,0.8219966603569908,0.5730969246766904,0.989707946818541,1.838004533617081,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,28,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A08,outage_end_horizontal_error_m,27,0.9720787863074234,0.9092891866989277,2.045635036003283,4.222571979512253,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,29,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A09,fault_window_horizontal_rmse_m,27,0.6915157876766802,0.45929719705833083,1.029624623989939,2.154567572437955,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,30,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A09,outage_end_horizontal_error_m,27,0.9897922918358386,0.8385138805580254,2.1367376772011397,4.867142406736946,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,31,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_F03,fault_window_horizontal_rmse_m,27,-0.04527804591019979,-0.04527804591019979,-0.040435093764862984,-0.06613595370643566,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,32,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_F03,outage_end_horizontal_error_m,27,-0.0790537692688531,-0.0790537692688531,-0.06076854981955648,-0.12053681020597651,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,33,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A06,fault_window_horizontal_rmse_m,27,-0.7120766619387933,-0.4518684972669531,-0.9746394111604033,-2.0705269081419857,True,True,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,34,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A06,outage_end_horizontal_error_m,27,-0.9741464307244696,-0.8387352545052877,-2.0203401076240937,-4.669472871484146,True,True,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,35,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A07,fault_window_horizontal_rmse_m,27,-0.009905310016108615,-0.0034413281347536184,-0.009905310016108615,-0.02532780236950316,True,True,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,36,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A07,outage_end_horizontal_error_m,27,-0.01986556604579448,-0.00674291216502354,-0.01986556604579448,-0.05136602197947582,True,True,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,37,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A08,fault_window_horizontal_rmse_m,27,-0.0022323893836073694,-0.0029718414984607477,-0.010001309492248645,-0.0017554606679084372,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,38,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A08,outage_end_horizontal_error_m,27,-0.007134862472561565,-0.007134862472561565,-0.02249606542321203,-0.006163116805737445,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,39,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A09,fault_window_horizontal_rmse_m,27,-0.04456994918856516,-0.04456994918856516,-0.03995214288200799,-0.06762313752858518,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,40,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A05_vs_A09,outage_end_horizontal_error_m,27,-0.07826784695443578,-0.07826784695443578,-0.05963309219544044,-0.12303138428555371,True,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,41,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A04_vs_F03,fault_window_horizontal_rmse_m,27,0.293161001025938,-0.005158145118199897,1.1560044006740142,2.9107251110110326,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,2,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_F03,outage_end_horizontal_error_m,27,-0.33783660236537116,-0.40146473259485305,-0.33783660236537116,6.377107310925538,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,3,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A06,fault_window_horizontal_rmse_m,27,-0.8022980915032107,-0.4451659061402591,-1.5389059441461583,-3.354249378657215,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,4,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A06,outage_end_horizontal_error_m,27,-1.8012732130372662,-1.1023326197601655,-3.5980675657462484,-7.790104490839951,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,5,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A07,fault_window_horizontal_rmse_m,27,0.3358295265671849,0.15219072195011307,1.1345596149808124,2.6009061876153936,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,6,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A07,outage_end_horizontal_error_m,27,-0.23089376902527192,-0.32866562845876857,-0.23089376902527192,5.749327878690792,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,7,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A08,fault_window_horizontal_rmse_m,27,0.36254569998183683,0.33509315516606364,1.1149867672529403,2.594889856267912,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,8,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A08,outage_end_horizontal_error_m,27,-0.15711979122302466,-0.32945965733814475,-0.15711979122302466,5.734422493924399,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,9,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A09,fault_window_horizontal_rmse_m,27,0.2938544248765833,-0.036105535295099855,1.1548470291871418,2.9117448915574897,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,10,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A04_vs_A09,outage_end_horizontal_error_m,27,-0.34385488518314844,-0.40069883176468934,-0.34385488518314844,6.37915221313952,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,11,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_F03,fault_window_horizontal_rmse_m,27,0.5378274617339116,0.4680791816880592,1.014420623993857,2.3918862978613475,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,12,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_F03,outage_end_horizontal_error_m,27,1.0026594310144867,0.7574485484924054,2.1046963885027665,5.318415656928778,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,13,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A06,fault_window_horizontal_rmse_m,27,-0.006906680366682849,-0.0028428113448555337,-0.007093712200131108,-0.016146030617790075,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,14,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A06,outage_end_horizontal_error_m,27,-0.013672113108029293,-0.005508357092214311,-0.014092459357641474,-0.03241826554250338,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,15,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A07,fault_window_horizontal_rmse_m,27,0.6951763288022246,0.46434047179945814,0.9929758383006551,2.0820673744657086,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,16,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A07,outage_end_horizontal_error_m,27,0.9940751013840474,0.8302476526284899,2.054272920994329,4.690636224694032,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,17,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A08,fault_window_horizontal_rmse_m,27,0.7774162499614672,0.4597863172584833,0.973402990572783,2.076051043118227,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,18,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A08,outage_end_horizontal_error_m,27,0.9841178122738574,0.8294536237491137,2.010969695217142,4.675730839927638,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,19,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A09,fault_window_horizontal_rmse_m,27,0.5068800715570116,0.46765003742651734,1.0132632525069845,2.3929060784078047,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,20,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,F04_vs_A09,outage_end_horizontal_error_m,27,1.001675841473399,0.7582144493225691,2.101991710720597,5.320460559142759,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,21,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_F03,fault_window_horizontal_rmse_m,27,0.7128569330909116,0.46949714026161127,1.0340283194954445,2.1571464266886835,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,22,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_F03,outage_end_horizontal_error_m,27,1.0056132407594207,0.8414687143855168,2.1439711839110984,4.867832907460212,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,23,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
