comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_value,reference_value,delta_candidate_minus_reference,relative_change_percent,candidate_better,tie,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_04,D61,A1,seed_04,86.57029985540416,87.2333353399045,-0.663035484500341,-0.7600712295555646,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,29,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_05,D61,A1,seed_05,40.86354079486249,37.138987477736606,3.7245533171258813,10.028688367873809,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,30,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_05,D61,A1,seed_05,91.06252357089375,87.62310323592091,3.439420334972837,3.9252436948191236,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,31,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_06,D61,A1,seed_06,56.00176031722336,66.31444519960233,-10.312684882378974,-15.551189264026016,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,32,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_06,D61,A1,seed_06,129.21825463178484,152.4602816409379,-23.24202700915305,-15.244643889541532,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,33,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_07,D61,A1,seed_07,44.20534318262017,59.82365781463133,-15.618314632011163,-26.10725455873299,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,34,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_07,D61,A1,seed_07,100.42201631739954,131.09107734238242,-30.66906102498288,-23.39523150372906,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,35,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_08,D61,A1,seed_08,23.246013649955405,4.830456768302527,18.415556881652876,381.2384162610836,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,36,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_08,D61,A1,seed_08,50.73590800695233,16.824031732533975,33.911876274418354,201.56807127770838,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,37,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_00,D61,A1,seed_00,135.37365938041387,141.0533408160611,-5.67968143564724,-4.026619577237635,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,38,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_00,D61,A1,seed_00,321.0106003953626,331.89702376361475,-10.886423368252167,-3.2800605575799757,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,39,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_01,D61,A1,seed_01,39.394691930420876,34.697806019316346,4.6968859111045305,13.536550145244814,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,40,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_01,D61,A1,seed_01,89.49052823717365,80.2197091505631,9.270819086610544,11.556784716347313,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,41,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_02,D61,A1,seed_02,101.91797555739552,96.12568483740053,5.792290719994995,6.025747155708516,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,42,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_02,D61,A1,seed_02,248.23430967672488,235.86380527271,12.370504404014866,5.244765889243525,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,43,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_03,D61,A1,seed_03,106.82161600499396,95.30411156299988,11.517504441994078,12.085002685724152,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,44,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_03,D61,A1,seed_03,242.65806320138978,226.24940590455924,16.40865729683054,7.252464257851951,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,45,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_04,D61,A1,seed_04,84.95626067968999,82.05153496829718,2.904725711392814,3.5401235485906914,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,46,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_04,D61,A1,seed_04,211.7626235477787,205.39022591197235,6.372397635806351,3.1025807618213928,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,47,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_05,D61,A1,seed_05,109.62326009408063,95.01832754251909,14.604932551561546,15.370647883721261,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,48,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_05,D61,A1,seed_05,247.34564597614283,222.7468622440446,24.59878373209824,11.043380582011283,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,49,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_06,D61,A1,seed_06,122.36332782055798,143.79503023142703,-21.43170241086905,-14.904341531398114,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,50,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_06,D61,A1,seed_06,294.952904914608,342.1641326477467,-47.21122773313874,-13.79783069832806,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,51,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_07,D61,A1,seed_07,115.29140544934174,158.14462141218496,-42.85321596284322,-27.097485567436063,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,52,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_07,D61,A1,seed_07,258.9990029036009,341.30487045234906,-82.30586754874815,-24.115058024124856,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,53,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_30s_seed_08,D61,A1,seed_08,33.31392174491344,39.31190491577813,-5.997983170864686,-15.257421851509795,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,54,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
