elapsed_s,t_rel_s,err_n_m,err_e_m,err_u_m,yaw_error_ned_wrapped_deg,yaw_error_ned_unwrapped_deg,reference_yaw_increment_ned_deg,reference_path_m
83.0,3269.0,60.7110882850486,116.36877574944772,-0.5508130331287653,132.0982746593304,132.0982746593304,-89.83377001561956,100.45348944805977
84.0,3270.0,66.20008072982297,108.45065639444341,-0.5518046405356709,123.17586024028412,123.17586024028412,-89.60613508060166,101.70750783714438
85.0,3271.0,69.76538182195046,101.22742173488014,-0.5065745297726703,115.05864796003141,115.05864796003141,-89.408826023046,102.98896782303326
86.0,3272.0,68.04650857691968,112.46434790235877,-0.5565625562973859,127.38965116267445,127.38965116267447,-96.34372719925406,104.22844901460746
87.0,3273.0,67.89167861104316,116.93061939414993,-0.48881946833122353,130.1313669428498,130.1313669428498,-90.05268716489164,105.42319200403674
88.0,3274.0,69.25844367648989,117.72288175902266,-0.36534991836917224,129.79764491940642,129.79764491940642,-88.48762335757942,106.68329595564192
89.0,3275.0,71.87339144219848,115.18093809001866,-0.34540700642526456,126.18742470932341,126.18742470932342,-87.11533591235428,107.96534925196363
90.0,3276.0,75.06242060331212,109.46999993825838,-0.2796647072425565,119.93136979848862,119.93136979848862,-86.82466953314511,109.15997819378892
91.0,3277.0,77.71169173121677,99.78951941131821,-0.3047299325094011,110.61027417265552,110.61027417265552,-87.43380934220914,110.38570537763188
92.0,3278.0,78.52024468697002,90.04323357013811,-0.4058750970992476,99.98252324844685,99.98252324844685,-88.70118947989133,111.64428961663235
93.0,3279.0,78.33407508273669,83.24741147900659,-0.4761626875086009,94.47507695791688,94.47507695791688,-93.6751038512163,112.86929827886715
94.0,3280.0,79.10672502680659,82.51381648278556,-0.492101587723315,92.81403507101982,92.81403507101982,-92.06643928502567,114.13491752512613
95.0,3281.0,81.37828336142692,88.61529864177581,-0.48207740914600405,97.64215741512209,97.64215741512209,-92.25153566001785,115.37801684417289
96.0,3282.0,83.13974847644953,97.46492783189055,-0.4137286885011915,105.03468556152541,105.03468556152541,-91.66197637846099,116.38283650439598
97.0,3283.0,83.67491893868608,112.05709913510138,-0.4922299846970697,115.73542323726696,115.73542323726696,-97.76062855774683,117.53923922079626
98.0,3284.0,81.38376618143212,128.17577889384657,-0.642869761941141,129.14304472968763,129.14304472968763,-99.2226674449335,118.7384933222024
