elapsed_s,err_e_m,err_n_m,err_u_m,horizontal_error_m,reference_path_m
127.0,8.079209525259984,3.6585472474343987,-4.177493831386554,8.868968063690469,151.73621351125308
128.0,8.073788615037856,3.7752766238281303,-4.223446287905542,8.912843327846508,152.82859878722718
129.0,8.033170711432106,3.8539677222026825,-4.230373602212668,8.909820361982094,153.91184014526854
130.0,7.99288351884195,3.919139436714378,-4.265121601165577,8.902013304314096,155.00361244295007
131.0,7.985797509907783,3.9933837695998875,-4.3126766986688665,8.928609959033555,156.09834908536962
132.0,7.903327045725376,4.128780797522733,-4.383929863075818,8.91680487987074,157.17692158779388
133.0,7.8706907420024805,4.205174055310845,-4.410966469368086,8.923634998794103,158.29067079482203
134.0,7.760483297613192,4.31372937711669,-4.457040143720034,8.878815357441153,159.35276277068002
135.0,7.6597209672350175,4.341621173521656,-4.495837179553715,8.804601053441962,160.49642319204992
136.0,7.550676729099109,4.3664640224146005,-4.533808051915471,8.722312028722655,161.69654775400844
137.0,7.446625361521413,4.3885080269673225,-4.559670563781504,8.643565929499847,162.57869877590366
138.0,7.339332918074874,4.384120461140526,-4.589981265965835,8.549053742966437,163.45777989146475
139.0,7.331610317168028,4.392062860169823,-4.616196491692279,8.54650373020967,163.55752218119582
140.0,7.3347269602064245,4.401712956947652,-4.612318757815,8.554139146409755,163.5761664471055
141.0,7.337908662576211,4.408094476186747,-4.61697902936451,8.560151894172154,163.59008930959132
142.0,7.3564407409892425,4.40805985216446,-4.6191352018885015,8.576025421834435,163.61842289399104
143.0,7.347538315659648,4.415306592114071,-4.618431479259692,8.572120601254545,163.645319095057
144.0,7.349407150395237,4.417255029957694,-4.616109927317067,8.574726086701965,163.653989453215
145.0,7.3431962287511965,4.420715395546992,-4.6117387567868935,8.571187517629747,163.66954603752703
146.0,7.346609749332501,4.421043688045302,-4.610625505696336,8.57428143348424,163.67626312662654
147.0,7.348936210287221,4.42422073855224,-4.610991054541734,8.57791306590982,163.6848357134419
148.0,7.349522747100295,4.423878946056448,-4.6133492405864756,8.578239302998382,163.6918316950884
149.0,7.3528097292618355,4.4249195468823785,-4.613417305038614,8.581592154787435,163.6989780943862
150.0,7.353774059454992,4.426949223352661,-4.613631137887114,8.583465054606787,163.7014164210852
151.0,7.354715959583501,4.427636727981383,-4.6132414558255865,8.584626598817326,163.71882902089482
152.0,7.356131784316332,4.432820308224198,-4.61003442836318,8.588513882694366,163.7270453851754
153.0,7.355434057065679,4.436518387289517,-4.6074826004246034,8.589825700711257,163.72950018891433
154.0,7.357132648691845,4.4388889442779345,-4.607258168193514,8.592504633113698,163.73202197715545
155.0,7.3563116537244895,4.441187483758537,-4.60915612594062,8.592989433987233,163.73471084380907
156.0,7.357846041087512,4.442650144765739,-4.610132852938988,8.59505896856643,163.73747378569408
157.0,7.354826315531199,4.444023320119324,-4.614201713907739,8.593184124723187,163.74415684303338
158.0,7.358782019958383,4.445398398207633,-4.614234302459316,8.597280950163823,163.75346123781776
159.0,7.359017624467683,4.4460789637560865,-4.616921773285674,8.597834526738717,163.7569146272699
160.0,7.358644752368917,4.448376916453778,-4.618995499012202,8.598703959458392,163.75901026472104
161.0,7.3585598132437156,4.450425540411864,-4.620518140178306,8.599691274449079,163.76173802909506
162.0,7.360059015608414,4.451524618973522,-4.622593539805824,8.601542893374774,163.76426590962762
163.0,7.367792255444499,4.4542278069701275,-4.62259881258732,8.609559110417552,163.77015827206256
164.0,7.369711727279125,4.4582198832666755,-4.622021175696992,8.613267409685466,163.77840562799568
165.0,7.368839444937507,4.460737708420549,-4.621749719772536,8.613824682949607,163.79020618428603
166.0,7.372314711999891,4.468729214241101,-4.625490536883368,8.62093759419368,163.81050106947936
167.0,7.372375886891419,4.4718341660553484,-4.621524772680719,8.622599783494417,163.82219363669478
168.0,7.376336145209763,4.4727425464290995,-4.620910531778476,8.626457025556036,163.8306078333022
169.0,7.377487892433749,4.4727032248637855,-4.618778307751904,8.627421500118878,163.83676811834223
170.0,7.380796913446929,4.475579598399957,-4.617704920574811,8.63174233971112,163.84306795615632
171.0,7.384969955312911,4.4752074356206215,-4.617139175558617,8.635117997613495,163.84808326920424
172.0,7.385178237717099,4.480834127334429,-4.617449279183141,8.638213477307396,163.86989340798596
173.0,7.390392522417017,4.479979642010758,-4.616214082728583,8.642228834521115,163.89556327068547
174.0,7.391954816759593,4.482257466978094,-4.615405690695283,8.644745688179395,163.90188412512288
175.0,7.391389147401043,4.496571524087251,-4.61526665401599,8.65169284010651,163.91853859116438
176.0,7.392159573117453,4.489780742031314,-4.6143967634070995,8.648823866049492,163.94259096758606
177.0,7.398891151177693,4.494472604239512,-4.613486502678469,8.657013010111228,163.95386932791376
178.0,7.4027830122708025,4.495606473421091,-4.614102068876309,8.6609280040092,163.96503022439217
179.0,7.406502164239001,4.50221535256777,-4.615532818225499,8.667538138928142,163.97510932424115
180.0,7.403571196511464,4.499495066083266,-4.613941514256438,8.663620623707034,163.99507101177807
181.0,7.404283943375162,4.503979529316059,-4.613649181477941,8.66655942774417,164.00056267314605
182.0,7.409295962747819,4.510150991139199,-4.612601890518787,8.674049148262018,164.00624906606384
183.0,7.414109115373947,4.516354243453073,-4.611451897680489,8.681386388534243,164.01568083728384
184.0,7.411807758638844,4.519966389048125,-4.610336587860287,8.681301193320257,164.02276428360216
185.0,7.412675841606358,4.520262786786137,-4.610160394932251,8.682196657202491,164.0279575613364
186.0,7.413095129988093,4.519142585311226,-4.611251218726353,8.68197149918304,164.03960412864183
187.0,7.4079981366603675,4.524443280255795,-4.611231900647834,8.680381523240513,164.0539280054249
188.0,7.4060061379730655,4.528329506113298,-4.611176310675585,8.680708210257446,164.06007619679667
189.0,7.410096275135004,4.5326958580824765,-4.610540674056536,8.686475611469113,164.069449261664
190.0,7.41394564615733,4.532979465281461,-4.610318681784354,8.689907529820937,164.07367024599864
191.0,7.416138796729783,4.537679599504859,-4.611296345591784,8.694230891811147,164.0822997568634
192.0,7.414979933849679,4.539901899583093,-4.609871936686791,8.694402606115705,164.0945602729578
193.0,7.420167158172319,4.542252146287396,-4.610518589957535,8.700053747861075,164.10569256903793
194.0,7.411702166768791,4.541584025384129,-4.613965491156488,8.692486092511711,164.1140339633502
195.0,7.411482177543263,4.543133637698013,-4.614636264134391,8.69310826563345,164.1187427448457
196.0,7.410115499563062,4.544720069805795,-4.615593479368489,8.692772413319029,164.12167262074638
197.0,7.412353378660157,4.545981495071324,-4.617689750027085,8.695339577248582,164.12446186710233
198.0,7.413727004433497,4.548021221887456,-4.618878688016037,8.697576968961249,164.12519837115127
199.0,7.415332871586941,4.549881046817561,-4.620647486493184,8.699918340802256,164.12644423196605
200.0,7.416211774476906,4.552693953692874,-4.620955341485441,8.702138778477481,164.13147603228333
201.0,7.416761418434049,4.555153391052414,-4.622320298156765,8.703894091381636,164.13743876821394
202.0,7.417149987260586,4.55884566135931,-4.625644597146589,8.706158033117381,164.1436729957445
203.0,7.418423504762728,4.562849992511943,-4.626932938938531,8.709340236216654,164.1545866468587
204.0,7.421187058698322,4.564731971883134,-4.627485134008182,8.712680146506214,164.1589695384547
205.0,7.426218983318336,4.567856154681376,-4.628050330449114,8.718602998075903,164.16192344252735
206.0,7.42566378970092,4.570717411145925,-4.628114809412758,8.719629600517898,164.16918367158274
207.0,7.42268192879196,4.571361421201928,-4.627840837300263,8.71742807594465,164.17396562084122
208.0,7.4292787862552245,4.573731451506184,-4.629014663961642,8.724288089832818,164.18327499134438
209.0,7.428164606214935,4.579566569715428,-4.629434626486474,8.72640013885906,164.21332971913438
210.0,7.424742213579023,4.581706561155407,-4.629115023126725,8.724610704818687,164.21848330232143
211.0,7.424817101846699,4.583546641279366,-4.628894179138557,8.725640882402768,164.2293852871045
212.0,7.432164177921408,4.586026739802325,-4.629112542353374,8.733195613620488,164.24330661405872
213.0,7.4340571378259455,4.588545073101024,-4.631804089393949,8.73612908651999,164.25301242208172
214.0,7.433341760374091,4.591312393117036,-4.631839378191901,8.736974259874609,164.25699988373714
215.0,7.435866540096882,4.594455642771077,-4.6313859328954825,8.740774213736639,164.27492831828917
216.0,7.434959842428,4.596804041541649,-4.631000519963639,8.741237627181327,164.28337046353894
217.0,7.43728449999432,4.601302241464801,-4.632024879499525,8.745580772662542,164.2960098639422
218.0,7.439395408123588,4.599721849954584,-4.631277333371678,8.746544754093467,164.30410944365454
219.0,7.4405727793458425,4.600584585125674,-4.630587936104547,8.747999874807856,164.3159122744595
220.0,7.444436939481662,4.603993462299972,-4.631122657514028,8.753079295129227,164.326853222612
221.0,7.4472663104858725,4.6050295483479715,-4.63086975327235,8.756030644102141,164.33414302594593
222.0,7.4481315430960535,4.613738274580022,-4.636173909659216,8.761349459391917,164.35086103200132
223.0,7.448878563429474,4.611215504153684,-4.635825148432204,8.760656383996947,164.36237872583234
224.0,7.451084785225206,4.610955956574337,-4.64287472319077,8.762395751738385,164.3786718045493
225.0,7.446875737365275,4.610523980852843,-4.6445034545211845,8.758589476952254,164.3978730103639
226.0,7.447231539115052,4.612384481609297,-4.646299275451578,8.759871471852781,164.40674849809412
227.0,7.449398140618371,4.6132859927554755,-4.648597792706943,8.762188100491926,164.40955209490554
228.0,7.449911694595386,4.615013334611607,-4.648873726175073,8.76353423773263,164.41097307431414
229.0,7.451534758502973,4.61756586001502,-4.649004266786192,8.766258308352214,164.411302751618
230.0,7.472949229051196,4.607052860853155,-4.663152934390295,8.778946761580919,164.4977905072502
231.0,7.48023325378044,4.574758893135247,-4.678473405158677,8.768255725130441,164.89712571502923
232.0,7.368181692218641,4.532405455283374,-4.701515230014978,8.650595393418216,165.92593093968063
233.0,7.284384824076142,4.48019912511014,-4.71869001836851,8.551868010316136,167.14901750559656
234.0,7.17730310932707,4.428587642044391,-4.707192292984777,8.43362724018701,168.41848808513214
235.0,7.090677324572653,4.367946922864579,-4.7623557965664975,8.328064915823541,169.6914912578049
236.0,7.019495389411389,4.329108814048261,-4.7936916852836315,8.247090313913029,170.94630705501663
237.0,6.953255298944299,4.27324896631557,-4.836219731545342,8.161397918274421,171.93572479166176
238.0,6.849220088975002,4.2045607483458305,-4.848925834554036,8.036799544205964,173.15846384984556
239.0,6.772614687675102,4.139881619095604,-4.878066711073758,7.937690440413896,174.39526981316718
240.0,6.683477465804245,4.090666895826487,-4.887822722478799,7.835970054085444,175.6407733826196
241.0,6.59701833578643,4.028307478334039,-4.946498639325685,7.729677358253984,176.922286383962
242.0,6.504602857045342,3.9561208031702932,-4.993929355686884,7.613195790018748,178.1869591604272
243.0,6.427363618617818,3.915763341209349,-4.985902291757578,7.526234492114296,179.4417668192603
244.0,6.333826107470287,3.8574386358990935,-5.052450574160717,7.4160087641128944,180.72449527977463
245.0,6.2023953983163835,3.796617303711699,-5.06313739960963,7.272139412023077,181.98823522977005
246.0,6.162385623013364,3.7051800715871117,-5.087014060489759,7.1905045671084915,183.13369419810923
247.0,6.084693825596588,3.656411061380343,-5.141413081848453,7.098791502857213,184.3489313375436
248.0,5.9823432248984005,3.6048791455848423,-5.18591407626936,6.984524616232682,185.57514447265388
249.0,5.923326842832566,3.54529362191456,-5.221478432184079,6.9032534179623495,186.72978108075702
250.0,5.789987549220442,3.492246248388298,-5.237274522490539,6.761637351966598,187.98296810857718
251.0,5.715237318563027,3.426281532022429,-5.2600959099418345,6.663583326122175,189.2075349424572
252.0,5.58067447351236,3.372498347046445,-5.330101686884432,6.520557697018213,190.49006498024
253.0,5.54648089185234,3.3192027073768386,-5.384532587112876,6.463788122791532,191.34466423629348
254.0,5.401222476720079,3.272936631887031,-5.421320773370391,6.31548243916284,192.53355908238345
255.0,5.304821256861146,3.1783034883357466,-5.43866106384845,6.1840716062488355,193.72597468630192
256.0,5.240142024374194,3.1638267647263127,-5.444111849575177,6.121183564704708,194.65895400988583
257.0,5.167837227328391,3.0887431827538734,-5.477565131456343,6.020537854475273,195.8095755809842
258.0,5.079308553298986,3.0386429865316202,-5.531920276185112,5.918845037607763,197.0528556186004
259.0,5.048984586650988,2.9550625374083346,-5.502951925001028,5.850182899383013,197.93860711594516
260.0,4.968742735663611,2.938529185661338,-5.626788414763367,5.77263875088277,198.8718793784682
261.0,4.836897010552988,2.9546643472526206,-5.62964172964675,5.667946197311879,199.92106685394012
262.0,4.773255308206117,3.001446270358006,-5.660526946636495,5.638496781161081,201.02699512825947
263.0,4.674387533947197,3.1157445508961388,-5.687781586296186,5.61762965350689,202.17874009960192
264.0,4.651908123321647,3.217922286303846,-5.672747391619601,5.656436424862998,203.33335040781517
265.0,4.580666696780213,3.291695903367625,-5.723229163467926,5.640724182872138,204.45966285886297
266.0,4.4770345221070755,3.328376042897709,-5.692286818969922,5.578702823692434,205.58125511673623
267.0,4.41453864783081,3.4113184973823394,-5.74121972310111,5.579000391089319,206.7406558161145
268.0,4.35230525815237,3.5189055276816887,-5.777047655705082,5.5968971022245455,207.90246328353533
269.0,4.275394259810653,3.572014916569863,-5.797580195792642,5.571201543744356,209.03671758722552
270.0,4.179057717149519,3.6499869040353303,-5.879765382716865,5.548596922006172,210.1967999668944
271.0,4.08674370345517,3.762926974023358,-5.899491813921105,5.555276186614223,211.3081431134356
272.0,3.9633757026631997,3.8141469448400827,-5.943982231843996,5.500551233948643,212.3838403972242
273.0,3.941927986004046,4.03722840741883,-6.058136900651295,5.642518007105648,213.59486044110375
274.0,3.8555580320837066,4.027287342326254,-6.0323833480054825,5.575335960857108,214.5891185778935
275.0,3.770252375273259,4.093071317405084,-6.0241162630606055,5.564893151051315,215.70685832130877
276.0,3.698065072799068,4.142972341550191,-6.0740870548025745,5.553368806905071,216.84550982844863
277.0,3.573270761789658,4.207336106350077,-6.096625934918688,5.519958428182034,217.94931493939924
278.0,3.4769495241842066,4.228827261916983,-6.177232093215877,5.474683370283351,219.11790944960285
279.0,3.3450012080469236,4.2462992246553455,-6.218179388239366,5.405561042772893,220.22795293688017
280.0,3.241414221981188,4.244633709333598,-6.276621260254955,5.3407566397349555,221.40183221491773
281.0,3.138315140670194,4.169774618472289,-6.272631298750593,5.218816177162738,222.62917312784174
282.0,3.0471680269809625,4.1329446024187675,-6.313059124537494,5.134828533779631,223.88355030847146
283.0,2.9131669778913576,4.072735219543283,-6.3487910293482575,5.00736597519943,224.885966177752
284.0,2.8223100610214473,4.049188835820466,-6.403596655051539,4.9357232812097545,226.00769649666643
