elapsed_s,t_rel_s,err_n_m,err_e_m,err_u_m,yaw_error_ned_wrapped_deg,yaw_error_ned_unwrapped_deg,reference_yaw_increment_ned_deg,reference_path_m
18.0,3204.0,-0.03150778030413193,2.403237135074624,-0.24897507828819798,6.6471121379627505,6.6471121379627505,-86.88387004291184,19.385710496688077
19.0,3205.0,0.28304194669300387,2.762406581639855,-0.1831504471751882,7.933926003133081,7.933926003133081,-86.89707758025102,20.646649654968318
20.0,3206.0,0.6434551597864804,3.168862332071189,-0.17682517839049028,9.23081724130327,9.23081724130327,-86.13431923943838,21.898104988374207
21.0,3207.0,0.9247286940738011,3.3222855485358362,-0.2013186031812373,8.839236779430166,8.839236779430166,-86.71896690315987,23.135354507682546
22.0,3208.0,1.1465650632129467,3.5134154825689414,-0.2445410972716185,9.198832836889494,9.198832836889494,-86.98809634715872,24.395210750081954
23.0,3209.0,1.5021353110472884,3.8441542785838596,-0.2505887003894786,10.16969874766022,10.16969874766022,-92.36828124629011,25.628737312025276
24.0,3210.0,1.7598504487946602,3.964353979177723,-0.2521037446028855,10.901180323728,10.901180323728,-93.8553578284224,26.823394681911623
25.0,3211.0,1.6729943058769976,3.8887002586721415,-0.2732507349492292,9.90098765911722,9.90098765911722,-93.44629928810846,28.063102255412296
26.0,3212.0,1.7706244201715666,4.019121858315673,-0.2703695947913239,10.21558150522364,10.215581505223641,-92.71403977207643,29.312300534653453
27.0,3213.0,2.104068585694863,4.275155237334424,-0.3159982207393863,11.119521079226018,11.119521079226018,-90.79291714956261,30.597376130725554
28.0,3214.0,2.331308680675688,4.472587495328202,-0.3098481912606531,11.385384608909504,11.385384608909504,-93.13268636614902,31.82279368225872
29.0,3215.0,2.5839826170852245,4.626067102020819,-0.3340198393439441,13.234347815864936,13.234347815864936,-90.55492134984513,33.035829426260904
30.0,3216.0,2.45215777274079,4.611037288363537,-0.34433942227986436,10.762488348459812,10.762488348459812,-88.46408902272879,34.250239279031895
31.0,3217.0,2.490846594472236,4.6687090649340774,-0.3594839274733415,10.753471504657682,10.753471504657682,-92.50116246509671,35.47084584683734
32.0,3218.0,2.6419609529614423,4.778789496258177,-0.4305932028889178,10.186939506770244,10.186939506770244,-91.22978443601664,36.685439967656976
33.0,3219.0,3.043789526224794,5.051256384044457,-0.432333686654565,10.87427210991541,10.87427210991541,-90.51112372745783,37.93864110929067
34.0,3220.0,3.7845356289308683,5.493682922662391,-0.4291955262790171,12.164438500523573,12.164438500523573,-88.66170413819279,39.20401337916674
35.0,3221.0,4.488409826737431,5.827015712297126,-0.47136428999818536,12.914887809905736,12.914887809905736,-88.39529755283894,40.4285387754289
36.0,3222.0,4.810368918646242,6.0767384191159906,-0.45874664914682806,12.307207123106906,12.307207123106906,-88.06425289267801,41.733060651302104
37.0,3223.0,5.070712534343212,6.258822405400689,-0.479743516729639,12.475834525946794,12.475834525946794,-89.30956391715787,42.98289372068973
38.0,3224.0,4.98277603344202,6.2442924880405,-0.5717341563995818,12.040313168231592,12.040313168231592,-89.68145941617334,44.209590719886485
39.0,3225.0,5.36561755383649,6.516055744262339,-0.5155276632184054,12.055730403037444,12.055730403037444,-91.93759464069828,45.47742375055067
40.0,3226.0,5.7890831512163246,6.7504210754882585,-0.5117024544436677,13.930297597267923,13.930297597267923,-94.71787603570587,46.69232844402053
41.0,3227.0,6.245233710263324,6.982759631613629,-0.5218932265611833,14.958933085768138,14.958933085768138,-93.94128754431858,47.92911923279769
42.0,3228.0,6.4682925928241914,7.130827392109694,-0.538551201735521,15.267042546950591,15.267042546950593,-92.63308822339465,49.2089107943296
43.0,3229.0,7.0091446004699876,7.395674322688528,-0.5721931415431152,16.495740969395797,16.495740969395797,-91.89052954992755,50.46469629701581
44.0,3230.0,7.4873729072241275,7.627455643830743,-0.5795793801251279,17.108260909410944,17.108260909410944,-90.76851229366056,51.69230388055582
45.0,3231.0,7.775830555968064,7.807876287768714,-0.5740253418507931,16.7657580653798,16.7657580653798,-88.87659056908208,52.92766030570951
46.0,3232.0,8.097118388665502,8.04241082960882,-0.6178572339297594,16.65415150441254,16.65415150441254,-88.7342595563033,54.207453205775806
47.0,3233.0,8.385476506689594,8.217291111233848,-0.6297839517830657,16.493887688007675,16.493887688007675,-88.07339207976023,55.436835512593525
48.0,3234.0,8.4929975454122,8.342143198253495,-0.6190409490107921,16.25679910754073,16.25679910754073,-86.86119964840358,56.68509433730278
49.0,3235.0,8.874010876073623,8.55073107985205,-0.6340862460925524,16.2224269888315,16.2224269888315,-84.67053613417232,57.91701014052314
50.0,3236.0,9.71972968520836,8.958340493392733,-0.6963816942713538,16.508880195276873,16.508880195276873,-83.74434667099842,59.21371112468909
51.0,3237.0,10.364968731077251,9.263726538993765,-0.6979911634527858,17.190097233021476,17.190097233021476,-85.49479122786431,60.470352365469914
52.0,3238.0,10.7719277313868,9.463486220154685,-0.7308350731794224,16.9784956550389,16.9784956550389,-85.20807687578795,61.70792982378003
53.0,3239.0,10.904992168554656,9.602981053973593,-0.7584674308081901,17.315958463821772,17.315958463821772,-86.69024819499896,62.98408273669012
54.0,3240.0,11.910769259693119,10.076569075403505,-0.7318007143861063,19.279029460351637,19.279029460351637,-87.74452311204536,64.25327066320702
55.0,3241.0,14.76506173986284,11.965527808258031,-0.6281461047477148,26.765325788434865,26.765325788434865,-88.43793461518678,65.49408869106735
56.0,3242.0,15.333079722294837,12.258597340213377,-0.8077326005152405,26.861458272513744,26.861458272513747,-96.9150882665019,66.7588499114285
57.0,3243.0,15.259019909692435,12.186593434185966,-0.8441958728825851,27.951191780942338,27.951191780942338,-91.89119673191314,67.97577383617093
58.0,3244.0,16.70365371926859,12.962431704798036,-0.8493968788795723,29.502528669698847,29.502528669698847,-91.22659572118312,69.18096132012188
59.0,3245.0,16.888421878464015,13.053430682042048,-0.8632881941189465,29.398375714484388,29.398375714484388,-94.30294402481252,70.40419406676023
60.0,3246.0,15.523607514398238,12.359457888913958,-0.8429941355246062,26.13798681555565,26.13798681555565,-92.48304784322963,71.61290863378521
61.0,3247.0,16.626020192412785,12.865215835837787,-0.8047009379185619,26.8123560915634,26.812356091563405,-90.14876515989798,72.86374299480465
62.0,3248.0,19.753102681456397,14.496010205037436,-0.826787443745056,31.012466352727387,31.012466352727387,-88.90857684208453,74.13965905704241
63.0,3249.0,24.804067678773723,17.709587879550263,-0.8401074520509499,38.908700439046044,38.908700439046044,-86.75916489162776,75.4116704395714
64.0,3250.0,27.43493327843991,19.645482297706472,-0.9403157812151599,41.938574491508746,41.938574491508746,-90.39139378879591,76.66678930192431
65.0,3251.0,28.650032329297982,20.382925065623844,-0.9224038385810089,42.88848061591409,42.8884806159141,-92.40104042516151,77.89119761436756
66.0,3252.0,29.150001490735058,20.51438475529678,-0.8909794588398618,42.55987053762138,42.55987053762138,-92.41138638342346,79.15045297140617
67.0,3253.0,30.576231571787616,21.569540722079957,-0.9125871119549189,44.672536860083795,44.672536860083795,-91.10748024796447,80.38061655727134
68.0,3254.0,31.136153914058244,21.876602968753282,-0.9402118566128261,45.11018523987076,45.11018523987076,-89.9382136857607,81.64280713807968
69.0,3255.0,32.00954623025201,22.391689684524387,-0.9924017987476026,45.976241389362,45.976241389362,-89.12041893734352,82.90511963281998
70.0,3256.0,30.964130384077325,21.307758811649755,-0.9918956870898583,43.93729111645351,43.93729111645351,-88.7644972462256,84.194692172641
71.0,3257.0,29.984881669292058,20.391259085626494,-0.9662978063916976,41.7154511413795,41.7154511413795,-87.87636455444118,85.41271537815796
72.0,3258.0,29.273491294799705,19.82063598820666,-0.9504254788992008,39.80282143864221,39.80282143864221,-92.361997476759,86.65045853357627
73.0,3259.0,29.662871964614574,19.928575334136234,-0.9857291371730632,40.00618863255863,40.00618863255863,-91.40416940819077,87.85945702524849
74.0,3260.0,29.845435812345755,19.961381809973183,-0.9756546906999972,39.458043005056965,39.458043005056965,-89.85421065897464,89.13758332844176
75.0,3261.0,30.539223823171685,20.288923658990328,-0.9852005561037129,39.424610209282406,39.424610209282406,-89.32428882367182,90.397492014884
76.0,3262.0,31.351023959969876,20.742252995178127,-1.0001198624449508,39.563727391739775,39.563727391739775,-88.0633601831469,91.67403683433484
77.0,3263.0,31.372001547248797,20.68997892293539,-1.0373375424550273,38.58786764326413,38.58786764326413,-86.27119894230219,92.90687875865491
78.0,3264.0,31.811963644620327,20.908507861827033,-1.0843379678986214,38.38551733515169,38.38551733515169,-85.84915207642004,94.17538562905537
79.0,3265.0,32.86193225571742,21.507559563412542,-1.1072444054772124,38.44785992891798,38.44785992891798,-85.83672861715664,95.4434513143046
80.0,3266.0,34.91099084171559,22.824551059717876,-1.1167558516480025,41.07216322190999,41.07216322190999,-88.42415854466248,96.71181473293962
81.0,3267.0,36.59573077229124,23.858477142806493,-1.1205248502180765,43.079227028044784,43.079227028044784,-88.74998066990474,97.95586203008928
82.0,3268.0,37.825938847702865,24.59194511416284,-1.155567713816444,44.559981042257704,44.559981042257704,-89.78726121867419,99.18172138165879
83.0,3269.0,39.24688865058823,25.585531717702906,-1.1201479088431172,46.349556245058324,46.34955624505833,-89.83377001561956,100.45348944805977
84.0,3270.0,41.11415373664846,26.93568209118075,-1.153567224591661,48.66793352310444,48.66793352310444,-89.60613508060166,101.70750783714438
85.0,3271.0,41.141658182809465,26.857592669855478,-1.1649051298257507,47.68750755731401,47.68750755731401,-89.408826023046,102.98896782303326
86.0,3272.0,45.87039190340826,30.69153990546996,-0.9558992224481988,56.72024442731225,56.72024442731225,-96.34372719925406,104.22844901460746
87.0,3273.0,51.31765976332403,36.33169087497143,-0.9100224216740216,64.46888436892323,64.46888436892323,-90.05268716489164,105.42319200403674
88.0,3274.0,52.36119880803384,37.213172742230164,-0.9037704990402755,65.39808119788583,65.39808119788583,-88.48762335757942,106.68329595564192
