run_id,domain,sequence_id,case_id,method_id,retain_error_series,evaluator_versions,reason
RUN_00067,CORE,BY2,D01_seed_05,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00068,CORE,BY2,D01_seed_05,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00069,CORE,BY2,D01_seed_05,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00070,CORE,BY2,D01_seed_05,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00071,CORE,BY2,D01_seed_05,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00072,CORE,BY2,D01_seed_05,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00073,CORE,BY2,D01_seed_05,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00074,CORE,BY2,D01_seed_05,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00075,CORE,BY2,D01_seed_05,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00076,CORE,BY2,D01_seed_05,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00077,CORE,BY2,D01_seed_05,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00078,CORE,BY2,D01_seed_06,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00079,CORE,BY2,D01_seed_06,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00080,CORE,BY2,D01_seed_06,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00081,CORE,BY2,D01_seed_06,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00082,CORE,BY2,D01_seed_06,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00083,CORE,BY2,D01_seed_06,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00084,CORE,BY2,D01_seed_06,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00085,CORE,BY2,D01_seed_06,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00086,CORE,BY2,D01_seed_06,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00087,CORE,BY2,D01_seed_06,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00088,CORE,BY2,D01_seed_06,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00089,CORE,BY2,D01_seed_07,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00090,CORE,BY2,D01_seed_07,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00091,CORE,BY2,D01_seed_07,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00092,CORE,BY2,D01_seed_07,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00093,CORE,BY2,D01_seed_07,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00094,CORE,BY2,D01_seed_07,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00095,CORE,BY2,D01_seed_07,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00096,CORE,BY2,D01_seed_07,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00097,CORE,BY2,D01_seed_07,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00098,CORE,BY2,D01_seed_07,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00099,CORE,BY2,D01_seed_07,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00100,CORE,BY2,D01_seed_08,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00101,CORE,BY2,D01_seed_08,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00102,CORE,BY2,D01_seed_08,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00103,CORE,BY2,D01_seed_08,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00104,CORE,BY2,D01_seed_08,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00105,CORE,BY2,D01_seed_08,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00106,CORE,BY2,D01_seed_08,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00107,CORE,BY2,D01_seed_08,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00108,CORE,BY2,D01_seed_08,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00109,CORE,BY2,D01_seed_08,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00110,CORE,BY2,D01_seed_08,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00111,CORE,BY2,D02_seed_00,F01,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00112,CORE,BY2,D02_seed_00,F02,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00113,CORE,BY2,D02_seed_00,F03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00114,CORE,BY2,D02_seed_00,F04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00115,CORE,BY2,D02_seed_00,A03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00116,CORE,BY2,D02_seed_00,A04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00117,CORE,BY2,D02_seed_00,A05,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00118,CORE,BY2,D02_seed_00,A06,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00119,CORE,BY2,D02_seed_00,A07,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00120,CORE,BY2,D02_seed_00,A08,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00121,CORE,BY2,D02_seed_00,A09,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00122,CORE,BY2,D02_seed_01,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00123,CORE,BY2,D02_seed_01,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00124,CORE,BY2,D02_seed_01,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00125,CORE,BY2,D02_seed_01,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00126,CORE,BY2,D02_seed_01,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00127,CORE,BY2,D02_seed_01,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00128,CORE,BY2,D02_seed_01,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00129,CORE,BY2,D02_seed_01,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00130,CORE,BY2,D02_seed_01,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00131,CORE,BY2,D02_seed_01,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00132,CORE,BY2,D02_seed_01,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00133,CORE,BY2,D02_seed_02,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00134,CORE,BY2,D02_seed_02,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00135,CORE,BY2,D02_seed_02,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
