evaluator,case_id,frozen_status,frozen_terminal,frozen_yaw_rmse_deg,frozen_h_rmse_m,R5_status,R5_failure_classification,R5_yaw_rmse_deg,R5_h_rmse_m,paired_finite,R5_failed_on_frozen_completed
v3,D15_seed_00,COMPLETED,COMPLETED,31.676174362343506,3.5634208263210905,COMPLETED,NONE,2.698608937739373,3.5569029035745645,True,False
v3,D16_seed_00,COMPLETED,COMPLETED,2.2211084972602064,1.4865706450739602,COMPLETED,NONE,1.8862718504523253,1.4870226770791624,True,False
v3,D17_seed_00,COMPLETED,COMPLETED,2.221110356872683,2.984461542989006,COMPLETED,NONE,1.8862723559681154,2.984887442273733,True,False
v3,D18_seed_00,COMPLETED,COMPLETED,2.2210607177481823,1.7164919287049327,COMPLETED,NONE,1.886247638722821,1.716818018530116,True,False
v3,D19_seed_00,COMPLETED,COMPLETED,2.223332390225631,2.0113209059013397,COMPLETED,NONE,1.8861249557685993,2.0114309688459397,True,False
v3,D20_seed_00,COMPLETED,COMPLETED,2.5426206824507402,0.22713059466006102,COMPLETED,NONE,1.9195704538291787,0.22744122062624889,True,False
v3,D21_seed_00,COMPLETED,COMPLETED,2.454305780944727,0.6076928201473155,COMPLETED,NONE,1.8749844866379661,0.6078665243779632,True,False
v3,D22_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D23_seed_00,COMPLETED,COMPLETED,2.1901345098700196,0.09672093435717273,COMPLETED,NONE,1.8809781609913947,0.09739768278034326,True,False
v3,D24_seed_00,COMPLETED,COMPLETED,2.174499764160026,0.0961180112744005,COMPLETED,NONE,1.8783643030676467,0.0967372386480591,True,False
v3,D25_seed_00,COMPLETED,COMPLETED,2.168682826614625,0.09568891243980085,COMPLETED,NONE,1.8774390283263636,0.0962513501384102,True,False
v3,D26_seed_00,COMPLETED,COMPLETED,3.0860346173569546,0.0968883734447777,COMPLETED,NONE,2.0066411325801776,0.09890727276054068,True,False
v3,D27_seed_00,COMPLETED,COMPLETED,32.472978585312966,4.97517411811115,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_DIVERGED,UNAVAILABLE,UNAVAILABLE,False,True
v3,D28_seed_00,COMPLETED,COMPLETED,2.168682826614625,0.09568891243980085,COMPLETED,NONE,1.8774390283263636,0.0962513501384102,True,False
v3,D29_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D30_seed_00,COMPLETED,COMPLETED,2.2690903873893085,0.09707450759616638,COMPLETED,NONE,1.8863078906184692,0.09792297390491994,True,False
v3,D31_seed_00,COMPLETED,COMPLETED,2.3136879613425965,0.0970325409105355,COMPLETED,NONE,1.8864342981744608,0.09797091636117988,True,False
v3,D32_seed_00,COMPLETED,COMPLETED,2.2503022934327497,0.09711099459808434,COMPLETED,NONE,1.8862480981123615,0.09787285568663787,True,False
v3,D33_seed_00,COMPLETED,COMPLETED,2.23438673619606,0.09694938007292103,COMPLETED,NONE,1.886155816451767,0.09773666188922352,True,False
v3,D34_seed_00,COMPLETED,COMPLETED,2.3877192200814346,0.09685273922873044,COMPLETED,NONE,1.8863322942183502,0.09790770358268051,True,False
v3,D35_seed_00,COMPLETED,COMPLETED,2.2383275640772298,0.09719487091898799,COMPLETED,NONE,1.886304336410628,0.09793532167066514,True,False
v3,D36_seed_00,COMPLETED,COMPLETED,2.9010484281710247,0.0959338621764749,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
