category,method_id,config,sequence,start_mode,output_type,metric,value,denominator_or_valid_epochs,failure_flag,source,notes
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_10s_translation_rmse_m,3.7353721780403992,pairs=2641,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_10s_yaw_rmse_deg,4.480051176887052,pairs=2641,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,yaw_minus_raw_gyro_z_drift_deg_per_min,-21.176888401684234,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:sanity.yaw_minus_raw_gyro_z_drift_deg_per_min,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,native_path_length_10hz_m,769.364498001417,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:sanity.native_path_length_10hz_m,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,native_to_reference_path_ratio,2.3422578242295664,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:sanity.native_to_reference_path_ratio,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,position_drift_m_per_100m,47.525516541439565,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,heading_drift_deg_per_min,40.76617582109213,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,aligned_horizontal_rmse_m,68.5446226910604,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,aligned_up_rmse_m,3.406694640845785,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,aligned_yaw_rmse_deg,77.48452982929864,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,aligned_horizontal_max_m,151.36613627271439,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.horizontal_max_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,reference_path_length_m,325.51391570418065,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.reference_path_length_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_1s_translation_rmse_m,1.5266815507432223,pairs=2690,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_1s_yaw_rmse_deg,2.07107351574944,pairs=2690,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_5s_translation_rmse_m,4.277865701990571,pairs=2650,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.translation_rmse_m,
